ESTABILIDAD;07/10/2025 09:56:05;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
-15.25;  27.45; 1007.23; -733.08; -349.30;  23.01;   1.31;  -0.23;   5.78; 267503.00; 20002.00; 19997.00; 19998.00; 19999.00; 19999.00;   0.97; 1007.72; 196311.00;   0.50;
-17.08;  17.69; 1008.94; -304.33; -218.05;  53.64;   1.23;  -0.21;   5.83; 85761.00; 20002.00; 19997.00; 19999.00; 19999.00; 19999.00;   0.97; 1009.24; 196311.00;   0.50;
-19.76;  23.18; 1009.79; -54.95; -419.30; -169.49;   1.17;  -0.21;   5.89; 73657.00; 20003.00; 19999.00; 19997.00; 19999.00; 19999.00;   0.96; 1010.25; 196311.00;   0.50;
-18.06;  21.59; 1005.65; 190.05; -668.67; 211.14;   1.12;  -0.20;   5.95; 68921.00; 20000.00; 20052.00; 19946.00; 19998.00; 19999.00;   0.97; 1006.04; 196311.00;   0.50;
-15.86;  20.25; 1004.30;   6.30; -388.67; 548.01;   1.09;  -0.19;   5.98; 3748.00; 20000.00; 20003.00; 19995.00; 19999.00; 20001.00;   0.97; 1004.63; 196311.00;   0.50;
-16.84;  20.62; 1007.23; 338.80;   5.08; 810.51;   1.07;  -0.18;   5.98; 1754.00; 20001.00; 19997.00; 20001.00; 20000.00; 19998.00;   0.97; 1007.58; 196311.00;   0.50;
-16.84;  20.62; 1007.23; 570.67;   0.70; 294.26;   1.08;  -0.17;   5.98; 101254.00; 19999.00; 20002.00; 19997.00; 19998.00; 19999.00;   0.97; 1007.58; 196311.00;   0.50;
09:56:15
-16.84;  20.62; 1007.23; 330.05;  26.95; 206.76;   1.10;  -0.16;   5.96; 200790.00; 20002.00; 19997.00; 19999.00; 19999.00; 20000.00;   0.97; 1007.58; 196311.00;   0.50;
-16.84;  20.62; 1007.23; -37.45; 442.58; 303.01;   1.15;  -0.14;   5.94; 300571.00; 19999.00; 19999.00; 19999.00; 19999.00; 20003.00;   0.97; 1007.58; 196311.00;   0.50;
-14.64;  12.20; 1009.31; -251.82; 845.08;  14.26;   1.20;  -0.09;   5.92; 68729.00; 19995.00; 20002.00; 19997.00; 20003.00; 19997.00;   0.97; 1009.49; 197833.00;   0.50;
-15.37;   3.42; 1005.65; -256.20; 656.95; -401.36;   1.25;  -0.08;   5.90; 75526.00; 20003.00; 19995.00; 19998.00; 19999.00; 19999.00;   0.97; 1005.77; 197833.00;   0.50;
-15.74;   2.07; 1004.06; -597.45; 381.33; -646.36;   1.29;  -0.07;   5.90; 44171.00; 19999.00; 20003.00; 19999.00; 19997.00; 19999.00;   0.97; 1004.19; 197833.00;   0.50;
-15.74;   1.95; 1005.52; -286.83; -38.67; -182.61;   1.30;  -0.05;   5.91; 249.00; 20057.00; 19941.00; 20003.00; 19999.00; 19998.00;   0.97; 1005.65; 197833.00;   0.50;
-12.32;   0.98; 1007.23; -304.33; -183.05; -20.74;   1.27;  -0.06;   5.93; 3744.00; 19999.00; 19998.00; 20000.00; 19999.00; 19999.00;   0.98; 1007.31; 197833.00;   0.50;
-12.81;  -2.81; 1007.35;  98.18; -664.30;  -7.61;   1.20;  -0.05;   5.96; 2514.00; 20002.00; 19999.00; 20016.00; 19981.00; 20003.00;   0.98; 1007.44; 197833.00;   0.50;
-13.79;  -4.39; 1007.23; 439.42; -817.42;  49.26;   1.13;  -0.05;   5.99; 79429.00; 20000.00; 19996.00; 19997.00; 19999.00; 19999.00;   0.98; 1007.34; 197833.00;   0.50;
-15.62;  -5.25; 1008.94; 246.93; -559.30; 386.14;   1.07;  -0.05;   6.01; 55094.00; 19999.00; 19999.00; 20003.00; 19997.00; 19998.00;   0.97; 1009.07; 197833.00;   0.50;
09:56:16
-18.06;  -6.47; 1008.21; 330.05; -108.67; 495.51;   1.04;  -0.06;   6.03; 33582.00; 20000.00; 20004.00; 19995.00; 20001.00; 19997.00;   0.97; 1008.39; 197833.00;   0.50;
