ESTABILIDAD;02/10/2025 09:50:14;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
125.78;  48.80; 997.59; 475.65; -4981.99; -12866.70; -17.90;  16.01; -80.78; 27372.00; 19999.00; 19999.00; 19999.00; 20003.00; 19996.00;   0.77; 1006.68; 199144.00;   0.50;
127.73;  49.29; 996.25; 410.02; -4465.74; -10687.95; -18.03;  16.33; -81.94; 57251.00; 19998.00; 20000.00; 19999.00; 19998.00; 19999.00;   0.77; 1005.62; 199144.00;   0.50;
127.73;  49.29; 996.25; 2046.28; -4343.24; -10626.70; -18.10;  16.59; -83.00; 157347.00; 19999.00; 20004.00; 19996.00; 19998.00; 19999.00;   0.77; 1005.62; 199144.00;   0.50;
09:50:23
130.54;  50.26; 997.96; 729.40; -3612.61; -9786.70; -18.04;  16.87; -84.12; 29943.00; 19999.00; 20000.00; 19999.00; 20002.00; 19996.00;   0.76; 1007.72; 199144.00;   0.50;
132.49;  60.76; 1010.53; -167.48; -3140.11; -8859.20; -17.98;  17.11; -85.13; 4690.00; 20000.00; 20003.00; 19996.00; 19999.00; 19999.00;   0.76; 1020.98; 199144.00;   0.50;
130.05;  62.83; 1010.53; -1567.47; -2575.74; -8714.83; -17.80;  17.37; -86.15; 79462.00; 20006.00; 19996.00; 19998.00; 19997.00; 19999.00;   0.77; 1020.80; 199144.00;   0.50;
114.07;  85.89; 986.00; 987.53; -2921.36; -6925.45; -17.66;  17.59; -87.09; 34948.00; 20000.00; 20002.00; 20001.00; 19998.00; 19996.00;   0.79; 996.29; 194837.00;   0.50;
104.31;  95.28; 981.37; 2632.52; -2693.86; -6960.45; -17.42;  17.76; -88.04; 22273.00; 20004.00; 20007.00; 19988.00; 19999.00; 20047.00;   0.81; 991.48; 194837.00;   0.50;
81.74;  98.82; 996.50; 296.27; -3437.61; -5376.70; -17.31;  17.90; -88.85; 33672.00; 19951.00; 20001.00; 19998.00; 20005.00; 19993.00;   0.85; 1004.71; 194837.00;   0.50;
69.91;  97.60; 1016.63; -456.23; -4513.86; -2764.82; -17.34;  18.09; -89.58; 21977.00; 19999.00; 19999.00; 19999.00; 20003.00; 19996.00;   0.87; 1023.69; 194837.00;   0.50;
55.39; 102.24; 997.47; 458.15; -4881.36; -2239.82; -17.40;  18.25; -90.24; 30413.00; 19998.00; 20004.00; 19996.00; 19999.00; 20003.00;   0.90; 1004.23; 194837.00;   0.50;
55.39; 102.24; 997.47; 1512.53; -4211.99; -4182.33; -17.54;  18.27; -90.77; 130511.00; 19996.00; 20056.00; 19942.00; 20077.00; 19921.00;   0.90; 1004.23; 194837.00;   0.50;
56.49; 102.11; 1000.28; -429.98; -3157.61; -3801.70; -17.63;  18.25; -91.29; 11016.00; 20059.00; 19975.00; 19963.00; 19999.00; 20003.00;   0.90; 1007.06; 194837.00;   0.50;
09:50:24
56.12; 102.72; 998.33; -959.35; -2195.11; -3390.45; -17.64;  18.35; -91.77; 42441.00; 19996.00; 19999.00; 19999.00; 20002.00; 20001.00;   0.90; 1005.16; 194837.00;   0.50;
56.36; 103.21; 1002.11; 1678.78; -1888.86; -3736.07; -17.58;  18.43; -92.20; 2287.00; 19996.00; 19999.00; 19999.00; 19999.00; 19999.00;   0.90; 1008.98; 194837.00;   0.50;
56.36; 103.21; 1002.11; -1926.22; -86.36; -4007.32; -17.44;  18.57; -92.62; 100753.00; 20022.00; 19977.00; 19999.00; 19999.00; 19999.00;   0.90; 1008.98; 194837.00;   0.50;
56.24; 103.82; 1005.04; -1436.22; 889.26; -4541.08; -17.21;  18.78; -93.02; 62903.00; 19999.00; 19999.00; 20044.00; 19956.00; 19998.00;   0.90; 1011.95; 194019.00;   0.50;
56.24; 103.82; 1005.04; 2755.02; -576.36; -2602.95; -16.96;  18.92; -93.44; 163209.00; 19999.00; 20274.00; 19724.00; 19999.00; 19999.00;   0.90; 1011.95; 194019.00;   0.50;
56.85; 103.46; 1007.72; 2120.65; -956.99; -1780.45; -16.71;  19.01; -93.87; 10540.00; 19999.00; 19999.00; 19999.00; 20005.00; 19997.00;   0.90; 1014.61; 194019.00;   0.50;
